method,N,µ,NMI
Labelpropagation Algorithm, 250, 0.2, 0.7181832729864346
Labelpropagation Algorithm, 250, 0.1, 1.0
Labelpropagation Algorithm, 250, 0.30000000000000004, 0.0
Labelpropagation Algorithm, 250, 0.4, 0.0
Labelpropagation Algorithm, 250, 0.5, 0.0
Labelpropagation Algorithm, 250, 0.6, 0.0
Labelpropagation Algorithm, 250, 0.7000000000000001, 0.0
Labelpropagation Algorithm, 500, 0.2, 0.8275612084869952
Labelpropagation Algorithm, 500, 0.1, 0.9837637323929673
Labelpropagation Algorithm, 500, 0.30000000000000004, 0.8327152949060967
Labelpropagation Algorithm, 500, 0.4, 0.0
Labelpropagation Algorithm, 500, 0.5, 0.0
Labelpropagation Algorithm, 500, 0.6, 0.0
Labelpropagation Algorithm, 500, 0.7000000000000001, 0.0
Map Equation, 250, 0.2, 0.3487302196000849
Map Equation, 250, 0.1, 0.5074604992654932
Map Equation, 250, 0.4, 0.42898518723343837
Map Equation, 250, 0.30000000000000004, 0.23733152231251314
Map Equation, 250, 0.5, 0.22832962293479916
Map Equation, 250, 0.7000000000000001, 0.21853503135832575
Map Equation, 250, 0.6, 0.25565834315442937
Map Equation, 500, 0.2, 0.6408516996207153
Map Equation, 500, 0.1, 0.45644600072236446
Map Equation, 500, 0.30000000000000004, 0.5824082580750594
Map Equation, 500, 0.4, 0.43292039725425785
Map Equation, 500, 0.5, 0.3327161975284749
Map Equation, 500, 0.6, 0.2573989644079377
Louvain Algorithm, 250, 0.1, 1.0
Louvain Algorithm, 250, 0.2, 1.0
Louvain Algorithm, 250, 0.30000000000000004, 0.991106828099744
Louvain Algorithm, 250, 0.4, 0.8516911167368469
Louvain Algorithm, 250, 0.5, 0.3165804653098184
Louvain Algorithm, 250, 0.6, 0.1689367956777772
Louvain Algorithm, 250, 0.7000000000000001, 0.06701652811254746
Louvain Algorithm, 500, 0.1, 1.0000000000000002
Louvain Algorithm, 500, 0.2, 1.0
Louvain Algorithm, 500, 0.30000000000000004, 0.9834871617270223
Map Equation, 500, 0.7000000000000001, 0.2506898253991895
Louvain Algorithm, 500, 0.4, 0.9125843703254314
Louvain Algorithm, 500, 0.6, 0.19805774437945917
Louvain Algorithm, 500, 0.5, 0.5920591516441024
Coverage Maximization, 250, 0.1, 1.0
Coverage Maximization, 250, 0.2, 0.5253909260742081
Coverage Maximization, 250, 0.30000000000000004, 0.4291086545444813
Coverage Maximization, 250, 0.4, 0.0
Coverage Maximization, 250, 0.5, 0.0
Coverage Maximization, 250, 0.6, 0.0
Coverage Maximization, 250, 0.7000000000000001, 0.0
Coverage Maximization, 500, 0.1, 0.9371959078765535
Coverage Maximization, 500, 0.2, 0.9020032479007787
Coverage Maximization, 500, 0.30000000000000004, 0.3355553629881658
Coverage Maximization, 500, 0.4, 0.0
Coverage Maximization, 500, 0.5, 0.0
Coverage Maximization, 500, 0.6, 0.0
Coverage Maximization, 500, 0.7000000000000001, 0.0
Labelpropagation Algorithm, 250, 0.1, 1.0
Labelpropagation Algorithm, 250, 0.2, 0.7853370804829116
Labelpropagation Algorithm, 250, 0.30000000000000004, 0.0
Labelpropagation Algorithm, 250, 0.4, 0.0
Labelpropagation Algorithm, 250, 0.5, 0.0
Labelpropagation Algorithm, 250, 0.6, 0.0
Labelpropagation Algorithm, 250, 0.7000000000000001, 0.0
Labelpropagation Algorithm, 500, 0.1, 0.9861891697122787
Labelpropagation Algorithm, 500, 0.2, 0.9660113048401888
Labelpropagation Algorithm, 500, 0.30000000000000004, 0.8056963947654588
Labelpropagation Algorithm, 500, 0.4, 0.0
Labelpropagation Algorithm, 500, 0.5, 0.0
Labelpropagation Algorithm, 500, 0.6, 0.0
Labelpropagation Algorithm, 500, 0.7000000000000001, 0.0
Map Equation, 250, 0.1, 0.49437892322051785
Louvain Algorithm, 500, 0.7000000000000001, 0.12849732808718398
Map Equation, 250, 0.2, 0.37461807110885875
Map Equation, 250, 0.30000000000000004, 0.49722396095264587
Map Equation, 250, 0.4, 0.2801721908819153
Map Equation, 250, 0.5, 0.24435742788895784
Map Equation, 250, 0.6, 0.17080794562960483
Map Equation, 250, 0.7000000000000001, 0.22085155941232815
Map Equation, 500, 0.2, 0.3303433044210744
Map Equation, 500, 0.1, 0.5055303942214151
Map Equation, 250, 0.1, 0.43069257191866994
Map Equation, 250, 0.2, 0.3201029090807491
Map Equation, 250, 0.30000000000000004, 0.21044569734077814
Map Equation, 250, 0.4, 0.4103442704683406
Map Equation, 250, 0.6, 0.25791648268753276
Map Equation, 250, 0.5, 0.20607788871740979
Map Equation, 250, 0.7000000000000001, 0.2268626177860632
Map Equation, 500, 0.1, 0.4361010425059646
Map Equation, 500, 0.2, 0.27146504179871905
Map Equation, 500, 0.30000000000000004, 0.4818932505557737
Map Equation, 500, 0.4, 0.4583297234606706
Map Equation, 500, 0.5, 0.3336011015243496
Map Equation, 500, 0.7000000000000001, 0.24041922387274056
Coverage Maximization, 250, 0.1, 0.8514937298764554
Coverage Maximization, 250, 0.2, 0.8306876393666859
Coverage Maximization, 250, 0.30000000000000004, 0.0
Coverage Maximization, 250, 0.4, 0.0
Coverage Maximization, 250, 0.5, 0.0
Coverage Maximization, 250, 0.6, 0.0
