
--- START Sum: 0.0000000000---
Sum : 2.1327848434 | Diff: 2.1327848434
Sum : 3.7138242722 | Diff: 1.5810394287
Sum : 6.1302514076 | Diff: 2.4164271355
Sum : 8.8414142132 | Diff: 2.7111628056
Sum : 11.5347573757 | Diff: 2.6933431625
Sum : 11.4619328976 | Diff: -0.0728244781
Sum : 11.5959000587 | Diff: 0.1339671612
Sum : 11.2585694790 | Diff: -0.3373305798
Sum : 13.3569903374 | Diff: 2.0984208584
Sum : 12.9719409943 | Diff: -0.3850493431
Sum : 12.8790678978 | Diff: -0.0928730965
Sum : 12.9370884895 | Diff: 0.0580205917
Sum : 13.1039805412 | Diff: 0.1668920517
Sum : 12.9385440350 | Diff: -0.1654365063
Sum : 12.7284618616 | Diff: -0.2100821733
Sum : 12.6827629805 | Diff: -0.0456988811
Sum : 12.7191374302 | Diff: 0.0363744497
Sum : 12.6546909809 | Diff: -0.0644464493
Sum : 12.5094876289 | Diff: -0.1452033520
Sum : 14.2387385368 | Diff: 1.7292509079
Sum : 14.1107873917 | Diff: -0.1279511452
Sum : 14.0868430138 | Diff: -0.0239443779
Sum : 14.3342370987 | Diff: 0.2473940849
Sum : 14.0097332001 | Diff: -0.3245038986
Sum : 13.8455142975 | Diff: -0.1642189026
Sum : 13.8031255007 | Diff: -0.0423887968
Sum : 13.9962041378 | Diff: 0.1930786371
Sum : 13.7636983395 | Diff: -0.2325057983
Sum : 13.6119245291 | Diff: -0.1517738104
Sum : 13.5751644373 | Diff: -0.0367600918
Sum : 13.5322165489 | Diff: -0.0429478884
Sum : 13.4005070925 | Diff: -0.1317094564
Sum : 13.3720176220 | Diff: -0.0284894705
Sum : 13.3451083899 | Diff: -0.0269092321
Sum : 13.4154340029 | Diff: 0.0703256130
Sum : 13.3208639622 | Diff: -0.0945700407
Sum : 13.2721703053 | Diff: -0.0486936569
Sum : 13.2634196281 | Diff: -0.0087506771
Sum : 13.2251162529 | Diff: -0.0383033752
Sum : 13.1517026424 | Diff: -0.0734136105
Sum : 13.0898436308 | Diff: -0.0618590117
Sum : 13.1114495993 | Diff: 0.0216059685
Sum : 13.0871447325 | Diff: -0.0243048668
Sum : 13.0599941015 | Diff: -0.0271506310
Sum : 13.0512160063 | Diff: -0.0087780952
Sum : 13.0269246101 | Diff: -0.0242913961
Sum : 13.0038272142 | Diff: -0.0230973959
Sum : 13.0038272142 | Diff: 0.0000000000
Sum : 12.9834402800 | Diff: -0.0203869343
Sum : 12.9834402800 | Diff: 0.0000000000
Sum : 12.9302499294 | Diff: -0.0531903505
Sum : 12.9164484739 | Diff: -0.0138014555
Sum : 12.8999669552 | Diff: -0.0164815187
Sum : 12.8850979805 | Diff: -0.0148689747
Sum : 12.8632705212 | Diff: -0.0218274593
Sum : 12.8489375114 | Diff: -0.0143330097
Sum : 12.8299992085 | Diff: -0.0189383030
Sum : 12.8198056221 | Diff: -0.0101935863
Sum : 12.8057602644 | Diff: -0.0140453577
Sum : 12.7923760414 | Diff: -0.0133842230
Sum : 12.7844799757 | Diff: -0.0078960657
Sum : 12.7719812393 | Diff: -0.0124987364
Sum : 12.7525962591 | Diff: -0.0193849802
Sum : 12.7324068546 | Diff: -0.0201894045
Sum : 12.7203235626 | Diff: -0.0120832920
Sum : 12.7023457289 | Diff: -0.0179778337
Sum : 12.6863965988 | Diff: -0.0159491301
Sum : 12.6711976528 | Diff: -0.0151989460
Sum : 12.6560384035 | Diff: -0.0151592493
Sum : 12.6419483423 | Diff: -0.0140900612
Sum : 12.6110657454 | Diff: -0.0308825970
Sum : 12.5968419313 | Diff: -0.0142238140
Sum : 12.5844485760 | Diff: -0.0123933554
Sum : 12.5738755465 | Diff: -0.0105730295
Sum : 12.5497590303 | Diff: -0.0241165161
Sum : 12.5332976580 | Diff: -0.0164613724
Sum : 12.5200552940 | Diff: -0.0132423639
Sum : 12.5130487084 | Diff: -0.0070065856
Sum : 12.5000613928 | Diff: -0.0129873157
Sum : 12.4806253910 | Diff: -0.0194360018
Sum : 12.4723691940 | Diff: -0.0082561970
Sum : 12.4575046301 | Diff: -0.0148645639
Sum : 12.4457327724 | Diff: -0.0117718577
Sum : 12.4334872365 | Diff: -0.0122455359
Sum : 12.4123520255 | Diff: -0.0211352110
Sum : 12.3995347619 | Diff: -0.0128172636
Sum : 12.3832178712 | Diff: -0.0163168907
Sum : 12.3717962503 | Diff: -0.0114216208
Sum : 12.3525270224 | Diff: -0.0192692280
Sum : 12.3338860273 | Diff: -0.0186409950
Sum : 12.3244072199 | Diff: -0.0094788074
Sum : 12.3141464591 | Diff: -0.0102607608
Sum : 12.3046850562 | Diff: -0.0094614029
Sum : 12.2891666889 | Diff: -0.0155183673
Sum : 12.2795028090 | Diff: -0.0096638799
Sum : 12.2708963156 | Diff: -0.0086064935
Sum : 12.2610891461 | Diff: -0.0098071694
Sum : 12.2529394627 | Diff: -0.0081496835
Sum : 12.2428788543 | Diff: -0.0100606084
Sum : 12.2357291579 | Diff: -0.0071496964
Sum : 12.2294591069 | Diff: -0.0062700510
Sum : 12.2215447426 | Diff: -0.0079143643
Sum : 12.2133769393 | Diff: -0.0081678033
Sum : 12.2071246505 | Diff: -0.0062522888
Sum : 12.1965267658 | Diff: -0.0105978847
Sum : 12.1898357272 | Diff: -0.0066910386
Sum : 12.1898357272 | Diff: 0.0000000000
Sum : 12.1836026311 | Diff: -0.0062330961
Sum : 12.1782447100 | Diff: -0.0053579211
Sum : 12.1734223366 | Diff: -0.0048223734
Sum : 12.1660261750 | Diff: -0.0073961616
Sum : 12.1462455988 | Diff: -0.0197805762
Sum : 12.1394372582 | Diff: -0.0068083405
Sum : 12.1339710355 | Diff: -0.0054662228
Sum : 12.1266993284 | Diff: -0.0072717071
Sum : 12.1218615174 | Diff: -0.0048378110
Sum : 12.1160687208 | Diff: -0.0057927966
Sum : 12.1115920544 | Diff: -0.0044766665
Sum : 12.1066899300 | Diff: -0.0049021244
Sum : 12.0966372490 | Diff: -0.0100526810
Sum : 12.0899184346 | Diff: -0.0067188144
Sum : 12.0848230124 | Diff: -0.0050954223
Sum : 12.0785843134 | Diff: -0.0062386990
Sum : 12.0745773315 | Diff: -0.0040069818
Sum : 12.0704315305 | Diff: -0.0041458011
Sum : 12.0704315305 | Diff: 0.0000000000
Sum : 12.0586273670 | Diff: -0.0118041635
Sum : 12.0419296622 | Diff: -0.0166977048
Sum : 12.0371202826 | Diff: -0.0048093796
Sum : 12.0308222771 | Diff: -0.0062980056
Sum : 12.0261894464 | Diff: -0.0046328306
Sum : 12.0198394656 | Diff: -0.0063499808
Sum : 12.0148277879 | Diff: -0.0050116777
